Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
50,Female,69.7,1.59,167,151,81,0.61,367.6,Strength,41.3,2.9,1,1,27.57
29,Male,60.4,1.77,195,118,54,0.95,347.5,Strength,21.1,2.7,5,3,19.28
39,Male,75.9,1.74,178,132,70,1.41,715.9,Yoga,22.7,3.3,3,2,25.07
61,Female,90.8,1.65,162,102,63,0.96,251.4,Cardio,46.4,3.5,4,2,33.35
42,Male,84.2,1.77,178,131,63,1.19,611.2,Strength,20.7,3.1,5,3,26.88
44,Male,81.8,1.86,171,158,68,0.55,409.9,Yoga,19.4,3.2,3,2,23.64
59,Female,60.6,1.64,158,116,55,1.61,650.7,Strength,27.0,2.6,5,3,22.53
45,Male,57.7,1.82,178,119,72,1.09,349.7,Yoga,20.3,2.5,2,1,17.42
33,Female,66.1,1.59,189,114,60,0.99,350.3,Strength,34.2,2.6,6,3,26.15
32,Male,81.2,1.61,184,163,63,0.51,420.0,Cardio,28.8,3.4,3,2,31.33
64,Female,67.8,1.77,161,119,58,0.88,365.8,Strength,31.9,3.0,6,3,21.64
61,Male,56.8,1.79,159,137,70,0.95,413.1,Yoga,18.9,2.5,2,1,17.73
20,Male,71.8,1.8,203,162,84,1.38,1134.9,Strength,18.4,3.1,2,2,22.16
54,Female,74.2,1.64,162,150,65,0.53,313.9,HIIT,28.5,3.0,6,3,27.59
24,Male,72.9,1.78,195,167,73,0.91,781.9,Yoga,23.4,3.3,3,1,23.01
38,Female,55.4,1.6,183,166,57,0.3,213.6,Strength,31.6,2.3,6,3,21.64
26,Male,74.4,1.74,193,135,56,0.98,556.8,Strength,26.4,3.3,6,3,24.57
56,Female,68.1,1.64,155,129,69,1.07,503.7,Yoga,30.3,3.0,1,1,25.32
35,Female,52.2,1.63,184,169,73,0.47,344.9,Strength,25.0,1.9,3,3,19.65
21,Female,63.8,1.64,193,136,79,1.08,525.2,Yoga,32.2,2.7,1,1,23.72
42,Female,53.3,1.53,175,156,61,0.69,452.6,Strength,27.1,2.5,5,3,22.77
31,Male,77.0,1.86,185,162,57,0.73,587.9,Strength,20.5,3.4,6,3,22.26
26,Male,73.2,1.87,197,171,50,0.69,614.4,Strength,20.3,3.0,5,2,20.93
43,Female,81.3,1.71,181,108,58,0.98,292.4,Cardio,40.2,2.9,3,2,27.8
19,Female,65.0,1.71,202,166,58,0.88,593.5,Strength,28.3,3.2,6,3,22.23
37,Female,51.8,1.72,182,160,55,0.51,346.3,Strength,24.0,2.3,5,3,17.51
45,Male,67.6,1.63,175,141,62,0.84,460.4,HIIT,23.2,3.0,4,2,25.44
64,Male,80.0,1.72,159,142,76,0.83,446.2,Yoga,26.7,3.0,2,1,27.04
24,Male,68.0,1.77,190,165,62,0.5,413.6,Strength,17.5,2.6,6,3,21.71
61,Male,77.1,1.85,156,109,69,1.05,251.4,Yoga,17.7,3.3,2,1,22.53
25,Female,60.5,1.65,198,151,66,1.09,646.1,Yoga,28.3,2.6,1,1,22.22
64,Female,64.9,1.67,160,123,55,1.56,696.7,Yoga,32.0,2.6,5,2,23.27
52,Female,70.8,1.58,170,115,67,0.92,342.1,Yoga,34.7,3.0,1,1,28.36
31,Male,76.4,1.78,186,108,60,0.95,299.4,Strength,20.6,3.0,6,3,24.11
34,Male,82.1,1.73,189,167,73,0.74,633.8,Yoga,25.1,3.7,2,1,27.43
53,Male,70.7,1.83,171,152,85,0.91,576.3,Yoga,20.3,3.1,2,1,21.11
57,Female,65.4,1.68,165,108,60,0.9,307.9,Cardio,32.0,2.5,5,3,23.17
21,Female,75.8,1.65,192,171,65,0.52,358.3,Strength,38.6,3.1,6,3,27.84
19,Male,67.9,1.77,201,144,58,0.96,625.3,Strength,16.1,2.7,4,2,21.67
23,Female,71.8,1.6,199,143,49,1.25,648.6,Strength,38.3,2.8,4,2,28.05
59,Male,69.9,1.77,159,118,58,1.04,318.3,Strength,17.8,3.2,5,3,22.31
21,Male,74.1,1.78,200,149,58,1.57,1112.3,Strength,15.8,3.5,6,3,23.39
46,Female,85.6,1.68,172,160,57,0.54,338.7,Strength,36.8,3.2,5,3,30.33
35,Male,76.1,1.82,182,151,58,0.88,608.7,Strength,17.6,3.4,6,3,22.97
43,Female,70.6,1.68,182,170,67,0.59,422.1,HIIT,30.6,2.6,1,1,25.01
61,Male,82.6,1.76,160,133,60,0.96,453.3,Strength,27.1,4.0,5,2,26.67
51,Female,67.2,1.63,166,121,60,1.06,440.8,Strength,33.6,2.9,6,3,25.29
27,Female,70.0,1.66,189,114,60,1.01,343.8,Strength,31.8,3.1,4,2,25.4
53,Female,59.9,1.57,164,99,56,0.96,278.5,Strength,29.9,2.4,6,3,24.3
31,Male,66.8,1.83,186,107,56,1.21,337.3,Strength,18.1,3.1,6,3,19.95
48,Male,80.6,1.77,172,146,55,0.46,286.0,Strength,25.0,3.4,5,3,25.73
65,Female,63.4,1.7,156,124,67,1.08,493.3,Yoga,27.4,2.6,1,1,21.94
32,Female,67.9,1.58,189,176,74,0.49,366.1,Yoga,33.1,2.5,1,1,27.2
25,Male,85.7,1.71,193,127,75,1.01,536.2,Cardio,23.5,3.5,1,1,29.31
31,Male,57.6,1.78,192,163,70,0.82,622.5,Cardio,19.7,2.6,1,2,18.18
40,Male,85.7,1.71,184,111,60,1.0,342.8,Cardio,28.3,3.8,3,2,29.31
57,Female,58.3,1.59,162,149,59,0.48,296.6,Strength,34.2,2.4,5,3,23.06
38,Male,76.2,1.78,179,136,69,1.25,684.6,Yoga,19.8,3.2,2,1,24.05
33,Male,72.1,1.84,187,167,56,0.55,457.0,Strength,18.7,3.1,5,3,21.3
62,Female,66.8,1.63,164,128,63,1.56,738.0,Yoga,31.6,3.0,3,3,25.14
35,Male,71.5,1.7,182,147,81,1.56,1002.2,Yoga,23.0,3.3,1,1,24.74
64,Male,92.6,1.81,154,121,62,1.26,483.2,Cardio,30.1,3.6,3,3,28.27
41,Male,64.8,1.72,179,120,74,0.95,343.6,Strength,20.9,2.4,4,2,21.9
43,Female,87.6,1.7,179,160,69,0.46,285.4,Strength,39.0,3.3,4,2,30.31
42,Female,77.5,1.7,172,112,65,0.87,287.0,Strength,34.9,3.0,5,3,26.82
62,Female,65.9,1.63,162,149,60,0.6,365.6,Strength,30.6,2.8,5,3,24.8
58,Female,67.4,1.68,166,139,72,0.79,425.3,Yoga,26.8,3.1,2,1,23.88
46,Female,54.8,1.53,173,153,68,0.87,555.2,Strength,35.0,2.7,2,1,23.41
32,Female,59.8,1.59,196,182,64,0.53,424.1,Strength,34.7,2.5,4,3,23.65
62,Female,63.4,1.59,162,156,82,0.43,283.3,Yoga,36.0,2.3,1,1,25.08
18,Male,76.2,1.79,206,185,65,0.42,440.5,Yoga,20.8,3.1,3,1,23.78
42,Male,75.4,1.84,182,163,77,0.45,350.1,Yoga,19.9,2.7,2,1,22.27
24,Female,73.4,1.71,199,149,58,1.3,722.1,Strength,31.3,2.9,6,3,25.1
26,Male,57.3,1.63,194,123,75,0.99,406.8,Yoga,21.4,2.4,2,1,21.57
41,Male,74.1,1.7,179,135,75,0.85,445.3,Yoga,19.6,3.1,1,1,25.64
18,Female,66.2,1.67,199,122,76,0.9,350.1,Yoga,36.7,2.8,1,1,23.74
61,Male,82.5,1.75,157,103,54,0.97,194.5,Strength,25.8,3.3,5,3,26.94
25,Male,90.6,1.8,194,118,64,1.0,463.5,HIIT,26.3,3.7,3,2,27.96
41,Male,87.6,1.77,179,142,75,1.3,813.5,Cardio,24.2,3.4,1,2,27.96
28,Male,81.2,1.78,197,179,74,0.5,489.9,Yoga,23.6,3.1,2,1,25.63
34,Male,95.9,1.92,180,136,71,1.13,695.4,Yoga,23.8,3.7,2,1,26.01
25,Female,62.9,1.64,199,152,68,1.12,666.2,Strength,31.1,2.5,4,2,23.39
52,Female,73.2,1.65,165,112,69,1.02,355.3,Yoga,32.8,2.9,1,1,26.89
52,Female,80.7,1.72,168,139,53,0.86,436.8,Strength,35.0,3.5,6,3,27.28
50,Male,55.0,1.7,168,142,59,0.75,380.1,Strength,17.4,2.4,5,3,19.03
22,Female,67.8,1.62,204,158,60,0.98,608.8,Yoga,26.7,2.7,3,2,25.83
59,Male,101.3,1.86,160,94,59,0.99,176.7,Strength,27.5,3.4,6,3,29.28
56,Male,72.0,1.76,166,125,50,1.07,411.0,Strength,14.4,3.0,5,3,23.24
58,Male,74.5,1.82,164,125,69,1.26,485.6,Yoga,21.9,3.0,2,1,22.49
45,Male,85.8,1.93,172,151,56,0.65,448.8,Strength,21.1,3.4,6,2,23.03
24,Female,46.2,1.55,196,111,51,0.86,310.5,Strength,23.5,1.7,5,3,19.23
26,Female,72.1,1.7,198,165,71,0.97,642.7,Cardio,29.9,3.6,2,1,24.95
25,Male,82.4,1.83,192,167,81,0.87,768.6,Yoga,23.8,3.9,2,2,24.61
29,Female,67.7,1.64,193,158,66,0.97,610.0,Yoga,35.4,2.8,2,1,25.17
51,Male,85.0,1.81,168,128,71,1.11,513.7,Yoga,24.9,3.4,2,1,25.95
50,Female,62.0,1.69,173,128,84,0.86,403.4,Yoga,28.0,2.7,2,1,21.71
65,Female,67.6,1.63,160,151,60,0.52,323.6,Yoga,35.3,2.7,4,2,25.44
40,Male,93.1,1.89,174,146,63,1.01,687.3,Strength,23.8,3.9,6,3,26.06
41,Female,56.9,1.58,175,106,56,0.89,291.6,Strength,31.3,2.2,5,3,22.79
54,Male,89.8,1.86,165,141,66,0.66,386.4,Strength,20.7,3.7,4,2,25.96
52,Female,67.5,1.65,172,153,72,0.56,348.1,Yoga,36.2,3.3,4,2,24.79
61,Male,65.9,1.72,161,111,71,0.95,214.3,Yoga,15.9,2.9,1,1,22.28
57,Male,82.6,1.8,159,134,77,1.53,754.1,Yoga,27.4,3.3,1,1,25.49
39,Female,62.4,1.63,183,149,79,1.33,786.5,Yoga,33.9,2.6,1,1,23.49
44,Female,72.5,1.64,173,153,62,0.69,416.8,Yoga,40.6,3.0,3,2,26.96
52,Male,65.2,1.66,171,142,69,0.72,381.7,Yoga,26.7,2.7,1,1,23.66
18,Female,59.8,1.73,204,107,57,0.95,289.2,Strength,26.9,2.3,5,3,19.98
52,Female,61.9,1.56,165,149,65,0.5,303.0,Yoga,32.2,2.7,4,2,25.44
54,Male,76.6,1.74,166,144,53,0.85,488.7,Strength,23.6,3.3,5,3,25.3
64,Male,67.1,1.8,160,95,55,1.02,77.1,Strength,15.3,2.8,6,3,20.71
31,Female,73.9,1.65,183,163,53,0.39,254.2,Yoga,31.7,3.3,1,1,27.14
20,Male,81.6,1.74,201,157,64,0.94,756.8,Yoga,24.6,3.5,3,1,26.95
18,Male,69.5,1.8,199,166,61,0.76,651.9,Cardio,21.2,3.1,6,3,21.45
22,Male,70.3,1.78,198,124,57,0.91,426.4,Strength,16.8,2.6,3,2,22.19
43,Female,59.9,1.58,178,150,56,0.73,442.8,Strength,33.3,2.8,6,2,23.99
31,Female,47.2,1.47,195,155,78,1.4,908.4,Strength,28.8,2.5,4,2,21.84
56,Male,88.6,1.82,164,147,57,0.52,327.8,Cardio,27.2,3.8,5,3,26.75
44,Female,66.5,1.63,180,166,82,0.53,370.1,Yoga,41.3,2.8,2,1,25.03
26,Male,63.3,1.75,191,132,53,0.97,494.1,Strength,17.9,2.5,5,2,20.67
32,Female,57.4,1.63,187,120,76,1.01,411.1,Yoga,24.7,2.5,1,1,21.6
32,Male,83.8,1.71,190,140,66,1.4,872.0,HIIT,29.5,3.5,2,1,28.66
43,Male,105.6,1.88,178,136,68,0.84,518.3,Cardio,27.1,4.1,3,2,29.88
59,Female,73.6,1.67,160,147,70,0.46,266.5,Yoga,32.8,2.8,4,2,26.39
30,Male,72.8,1.75,189,111,69,1.06,355.0,Strength,23.8,2.9,4,2,23.77
49,Female,60.3,1.62,175,142,64,0.82,459.9,Yoga,33.7,2.7,3,2,22.98
56,Female,62.7,1.54,163,131,75,1.0,493.4,Yoga,37.7,2.7,1,2,26.44
49,Male,82.9,1.83,168,134,67,1.28,661.6,Yoga,24.7,3.6,3,2,24.75
21,Male,66.7,1.88,196,112,60,0.88,310.3,Strength,13.3,2.6,6,2,18.87
47,Female,70.2,1.58,175,138,73,1.03,530.6,Cardio,35.0,2.6,1,1,28.12
54,Male,93.6,1.79,173,124,79,0.92,407.0,Yoga,22.6,3.7,2,1,29.21
40,Male,80.1,1.72,178,148,73,1.03,681.4,Yoga,23.8,3.8,3,2,27.08
56,Male,64.8,1.77,170,117,72,0.83,241.7,Yoga,17.8,2.6,1,2,20.68
62,Male,76.2,1.85,158,135,74,0.56,262.7,Yoga,21.5,3.0,2,1,22.26
32,Male,57.7,1.79,187,106,61,1.03,248.1,Strength,17.7,2.3,3,3,18.01
60,Female,88.0,1.71,157,122,67,1.22,480.8,Cardio,32.6,3.9,4,2,30.09
46,Female,58.0,1.58,173,154,67,0.73,466.3,Strength,30.2,2.7,3,2,23.23
53,Male,94.4,1.7,165,121,58,1.2,504.5,Strength,31.3,4.0,5,3,32.66
30,Male,103.8,1.82,187,159,66,0.64,548.8,HIIT,35.4,4.0,3,2,31.34
49,Male,71.5,1.83,166,110,65,1.01,269.9,Strength,16.9,3.1,5,2,21.35
24,Female,65.1,1.72,201,112,56,1.02,339.9,Yoga,29.0,2.9,2,1,22.01
39,Male,80.9,1.76,184,109,63,1.12,351.5,Yoga,20.8,3.3,3,2,26.12
45,Female,52.4,1.69,176,161,71,0.69,478.0,Yoga,22.9,2.5,2,1,18.35
19,Female,59.5,1.61,201,187,82,0.47,385.0,Yoga,34.4,2.7,2,2,22.95
59,Female,57.2,1.59,161,145,76,0.61,363.8,Yoga,28.9,2.3,1,1,22.63
62,Male,102.6,1.82,156,143,76,0.54,333.1,Yoga,29.7,3.9,2,1,30.97
23,Female,71.6,1.69,194,133,81,0.99,450.5,Yoga,34.0,3.0,2,2,25.07
45,Male,76.2,1.8,177,163,65,0.48,370.4,Yoga,21.8,3.1,3,2,23.52
45,Female,58.5,1.62,174,157,69,0.34,223.1,Cardio,30.8,2.4,3,1,22.29
61,Male,86.6,1.77,160,127,63,1.22,523.8,Strength,31.8,3.7,4,2,27.64
61,Female,54.0,1.54,154,137,67,0.86,475.5,Yoga,30.0,2.7,1,1,22.77
37,Male,69.5,1.69,182,152,84,0.95,642.4,Yoga,22.8,3.1,2,1,24.33
47,Female,61.3,1.66,170,150,76,0.72,437.9,Yoga,23.9,2.7,1,2,22.25
28,Male,66.4,1.86,193,165,60,0.42,340.6,Strength,15.2,3.0,5,3,19.19
45,Male,70.4,1.83,178,115,67,0.95,304.8,Yoga,21.8,2.9,2,1,21.02
42,Male,75.3,1.82,182,138,77,1.39,766.7,Yoga,18.0,3.5,1,1,22.73
56,Male,84.2,1.89,162,141,74,1.01,569.3,Yoga,21.5,4.0,4,2,23.57
50,Female,65.4,1.66,167,149,64,0.61,364.5,Yoga,29.9,2.6,4,2,23.73
18,Female,69.9,1.7,201,127,66,1.06,439.2,Yoga,35.3,3.0,2,1,24.19
44,Male,78.0,1.85,174,131,58,1.19,583.3,Strength,15.9,3.0,5,3,22.79
30,Female,79.6,1.65,191,139,60,1.22,593.5,Strength,38.7,3.6,4,3,29.24
58,Male,93.2,1.83,158,139,58,0.84,474.9,Cardio,22.1,4.0,4,1,27.83
20,Male,63.8,1.63,195,154,55,0.76,552.7,Strength,22.7,2.9,5,3,24.01
56,Female,65.0,1.6,163,108,71,1.09,372.5,Yoga,36.6,2.5,1,2,25.39
23,Male,80.3,1.86,199,174,61,0.33,312.4,Strength,22.5,3.0,4,2,23.21
25,Male,54.5,1.79,192,118,72,0.85,306.5,Strength,9.4,2.3,3,1,17.01
44,Female,71.9,1.71,179,151,65,0.55,325.7,Strength,36.0,3.0,6,3,24.59
26,Male,82.8,1.8,195,116,60,0.92,386.6,Strength,22.4,3.2,6,3,25.56
54,Male,61.1,1.8,171,151,67,0.63,374.2,Strength,24.4,2.8,4,2,18.86
50,Male,87.9,1.83,168,134,73,0.96,507.1,Yoga,23.2,3.5,1,1,26.25
59,Male,81.4,1.86,156,122,68,0.97,363.8,Yoga,25.4,3.0,1,1,23.53
61,Female,75.1,1.71,161,132,83,1.03,497.1,Yoga,35.2,3.2,2,1,25.68
41,Female,63.5,1.64,180,138,65,1.42,739.7,Yoga,35.3,2.6,3,2,23.61
32,Female,76.7,1.63,189,166,71,1.02,680.4,Cardio,40.2,3.1,1,1,28.87
49,Male,83.8,1.82,168,147,62,0.95,605.2,Strength,21.0,3.7,5,3,25.3
49,Male,91.8,1.81,173,152,65,0.61,430.1,Cardio,27.5,3.5,3,3,28.02
41,Female,68.0,1.55,177,159,61,0.67,433.8,Strength,32.8,3.0,6,3,28.3
58,Male,66.7,1.8,163,146,63,0.32,177.0,HIIT,20.9,2.8,3,2,20.59
29,Male,52.6,1.55,190,167,62,0.38,299.0,Cardio,21.0,2.3,5,3,21.89
56,Male,80.8,1.76,165,105,70,0.93,212.3,Strength,24.4,3.3,4,2,26.08
19,Male,67.9,1.71,197,176,63,0.51,479.8,Strength,17.6,2.5,5,2,23.22
20,Female,59.8,1.59,201,142,55,1.22,647.8,HIIT,33.8,2.4,5,2,23.65
54,Female,81.9,1.68,168,132,65,1.22,564.7,Cardio,44.9,3.4,4,2,29.02
34,Female,59.9,1.6,186,139,75,1.37,721.2,Cardio,28.2,2.6,4,2,23.4
19,Male,73.0,1.86,206,127,64,0.81,414.8,Strength,15.7,2.7,4,2,21.1
19,Female,51.2,1.54,202,187,70,0.49,408.7,Strength,31.6,2.1,4,3,21.59
45,Female,108.8,1.84,178,140,77,1.25,569.9,Strength,41.8,4.5,4,2,32.14
40,Male,79.1,1.82,180,124,50,1.13,499.0,Strength,25.0,3.3,5,2,23.88
54,Male,60.4,1.75,168,131,72,1.24,509.8,Yoga,19.6,2.5,2,1,19.72
49,Female,43.4,1.54,166,131,74,1.4,729.3,Yoga,22.9,2.3,2,1,18.3
50,Female,69.9,1.77,170,146,63,0.81,461.8,Yoga,35.0,2.8,1,1,22.31
18,Female,61.7,1.61,199,183,71,0.71,559.7,Yoga,34.2,2.9,2,1,23.8
36,Female,73.0,1.62,184,165,54,0.6,402.9,Strength,39.4,3.2,6,3,27.82
19,Male,84.2,1.75,202,129,79,1.03,578.9,Yoga,25.6,3.5,2,1,27.49
61,Female,61.9,1.59,161,132,51,0.88,445.8,Strength,31.9,2.9,5,3,24.48
43,Female,64.7,1.68,178,124,75,1.07,461.3,Strength,31.7,2.6,4,3,22.92
49,Male,78.7,1.75,170,135,69,1.54,791.4,Yoga,23.7,3.5,4,3,25.7
23,Female,43.6,1.54,195,105,53,1.12,365.4,Strength,24.7,1.9,5,3,18.38
49,Male,96.3,1.75,164,126,62,1.3,627.5,Strength,28.9,3.9,6,2,31.44
21,Male,75.6,1.68,199,150,77,1.05,757.9,HIIT,28.3,2.9,2,1,26.79
28,Male,75.9,1.66,195,175,57,0.54,501.4,Strength,25.1,3.0,5,2,27.54
34,Female,47.9,1.52,186,168,69,0.56,411.1,Strength,27.6,2.1,1,1,20.73
55,Female,86.8,1.73,165,152,68,0.58,338.3,Strength,36.1,3.6,4,3,29.0
41,Male,72.5,1.78,179,160,66,0.43,320.6,Yoga,19.1,3.0,3,2,22.88
22,Female,52.8,1.58,197,176,69,0.57,435.4,Yoga,33.8,2.6,1,1,21.15
51,Female,67.9,1.67,170,142,52,0.92,505.3,Strength,36.3,3.1,6,3,24.35
23,Male,84.0,1.86,196,167,68,0.38,339.6,Strength,23.3,3.1,1,2,24.28
39,Male,62.7,1.74,178,104,55,0.88,190.7,Strength,16.8,2.7,5,3,20.71
28,Female,52.0,1.56,192,143,80,1.42,795.2,Yoga,31.2,2.5,2,2,21.37
65,Male,68.3,1.8,155,141,70,0.41,201.8,Strength,18.8,2.7,4,3,21.08
33,Female,58.9,1.67,193,166,56,1.03,721.3,Strength,28.3,2.8,6,3,21.12
50,Female,69.3,1.73,168,101,56,0.97,274.2,Strength,32.0,2.7,6,3,23.15
26,Female,50.3,1.6,194,123,70,1.04,450.0,Yoga,34.1,2.0,3,2,19.65
23,Female,50.3,1.51,196,156,75,1.27,814.3,HIIT,30.3,2.0,1,1,22.06
33,Male,94.3,1.83,186,117,67,0.93,410.9,Cardio,30.4,3.9,3,1,28.16
46,Male,80.1,1.71,176,118,69,1.14,425.0,Yoga,28.9,3.3,2,1,27.39
20,Male,66.0,1.78,207,137,73,0.97,562.3,Strength,19.4,2.7,2,1,20.83
37,Male,83.4,1.73,182,114,66,1.01,375.7,Strength,30.0,3.2,3,3,27.87
53,Female,52.7,1.73,169,141,65,0.5,286.2,Strength,23.6,2.5,4,2,17.61
36,Female,94.3,1.69,178,144,78,0.93,463.4,Cardio,50.0,3.4,2,2,33.02
43,Male,103.8,1.89,176,158,69,0.61,494.7,Cardio,29.0,4.1,3,2,29.06
20,Female,57.7,1.6,205,133,68,1.0,477.1,Yoga,26.9,2.6,1,1,22.54
36,Female,67.8,1.62,184,149,63,0.71,410.6,Yoga,33.7,2.5,3,3,25.83
37,Female,47.7,1.56,185,138,62,1.09,594.4,Yoga,26.2,2.1,3,2,19.6
49,Male,88.3,1.89,169,152,63,0.55,382.3,Strength,25.9,3.4,5,3,24.72
24,Male,69.8,1.71,197,151,87,1.45,1023.1,Yoga,25.8,3.0,2,1,23.87
58,Male,70.7,1.81,167,142,63,0.72,380.5,Yoga,15.6,3.0,4,2,21.58
50,Female,67.6,1.72,167,138,65,0.96,502.1,Yoga,32.1,3.3,4,2,22.85
57,Male,77.1,1.85,170,140,61,0.78,414.5,Strength,22.1,3.6,5,3,22.53
56,Male,69.5,1.84,159,99,55,1.05,148.8,Strength,22.0,3.4,6,3,20.53
35,Male,68.9,1.79,184,155,70,0.53,374.9,Strength,21.1,2.8,4,2,21.5
57,Male,68.0,1.87,160,140,65,0.34,171.9,Yoga,21.1,2.8,3,2,19.45
18,Male,81.4,1.72,201,118,51,1.08,494.1,Strength,27.6,3.3,5,3,27.51
28,Male,65.8,1.76,189,149,66,1.25,830.7,Yoga,13.1,2.9,1,1,21.24
45,Female,51.8,1.6,172,154,71,0.54,350.4,Yoga,28.0,2.5,2,2,20.23
42,Female,65.1,1.54,174,119,81,0.89,353.5,Cardio,34.5,2.5,2,1,27.45
40,Male,76.3,1.72,182,159,68,0.74,555.2,Yoga,22.0,3.2,2,1,25.79
48,Male,91.5,1.83,171,131,63,0.87,449.9,Yoga,28.5,3.5,3,2,27.32
47,Female,74.5,1.64,172,145,75,0.67,370.0,Cardio,35.4,2.9,1,2,27.7
59,Female,78.1,1.58,162,150,51,0.5,295.3,Strength,35.5,3.1,5,3,31.29
52,Male,72.5,1.74,164,142,59,0.53,292.0,Strength,18.3,3.1,5,3,23.95
24,Male,60.8,1.77,197,117,64,0.93,346.3,HIIT,18.0,2.7,2,1,19.41
33,Male,84.3,1.82,187,168,77,0.56,489.8,Strength,26.2,3.4,1,1,25.45
43,Male,74.2,1.83,177,138,69,1.19,649.2,Yoga,18.3,3.3,1,1,22.16
65,Female,52.1,1.57,157,104,68,0.98,342.0,Yoga,25.3,1.8,1,1,21.14
19,Male,73.5,1.72,206,154,67,1.22,924.5,Strength,26.0,3.5,4,2,24.84
18,Male,94.2,1.85,203,176,69,1.11,1130.8,Strength,27.0,4.3,4,3,27.52
65,Male,70.7,1.81,154,122,76,1.17,382.8,Yoga,23.3,2.9,2,1,21.58
29,Male,83.7,1.7,187,142,75,1.39,902.6,Cardio,29.4,3.6,1,1,28.96
22,Female,53.9,1.6,191,172,58,0.55,404.9,Yoga,27.7,2.3,6,3,21.05
54,Female,63.6,1.64,166,143,76,0.76,430.6,Yoga,31.2,2.4,1,2,23.65
49,Female,62.1,1.55,167,148,59,0.34,202.7,Strength,30.3,2.5,5,3,25.85
26,Male,66.1,1.69,186,160,56,0.71,547.2,Strength,22.0,3.1,5,3,23.14
58,Male,57.9,1.78,161,144,77,0.81,413.1,Yoga,14.4,2.9,2,1,18.27
52,Female,81.1,1.71,169,122,54,1.18,469.8,Strength,38.9,3.4,6,3,27.74
36,Male,75.6,1.84,186,164,80,0.63,507.2,Yoga,21.9,3.3,1,1,22.33
65,Male,91.8,1.84,158,122,61,1.05,406.7,Strength,26.0,3.7,6,3,27.11
33,Female,56.0,1.67,190,149,87,1.17,698.0,Yoga,26.4,2.5,2,1,20.08
20,Female,53.6,1.61,203,149,60,1.31,769.1,Strength,23.7,2.3,5,3,20.68
37,Female,68.7,1.58,179,154,61,0.76,463.5,Strength,34.8,2.9,5,3,27.52
41,Female,67.4,1.62,179,165,58,0.6,412.2,Strength,36.5,2.8,4,2,25.68
50,Male,74.4,1.8,172,158,79,0.39,275.7,Yoga,18.7,3.0,2,1,22.96
41,Male,81.6,1.78,179,139,81,0.9,523.4,Yoga,22.8,3.4,2,1,25.75
28,Female,59.7,1.68,192,166,83,0.76,527.1,Yoga,20.5,2.6,1,1,21.15
25,Male,82.4,1.82,195,180,74,0.49,490.5,Yoga,25.5,3.0,1,1,24.88
53,Female,69.6,1.67,168,103,64,1.02,304.1,Yoga,34.6,3.1,4,2,24.96
