Steps,Active_Minutes,Sleep_Hours,RHR,HRV,Recovery_Score
5912,52,8.6,68,23,75
16258,124,6.2,58,46,64
7536,58,8.4,48,74,100
9912,82,7.7,50,55,100
10810,90,8.2,62,40,100
10324,85,9.5,61,47,77
9501,82,6.9,52,68,100
5942,58,6.3,53,63,71
5872,39,6.1,55,51,74
8286,75,6.2,62,49,65
8924,69,7.1,55,49,97
9731,71,7.6,66,41,100
10843,78,7.5,48,79,100
11046,92,8.2,56,50,100
8080,67,7.2,48,73,100
11437,77,8.9,48,78,100
9413,81,6.9,55,70,100
8920,62,10.5,62,49,73
7201,64,8.0,59,61,100
9576,80,6.2,60,55,73
9435,84,5.9,59,41,60
9628,93,7.8,54,60,100
10609,74,6.9,62,37,90
6191,55,8.1,56,73,100
9406,75,7.8,56,48,100
9875,84,7.1,60,58,97
13501,106,6.2,59,59,66
4802,44,5.4,66,51,57
7895,64,6.7,52,64,100
9497,69,8.2,63,48,100
7195,70,7.5,61,68,100
12838,104,5.7,63,35,51
13564,112,7.4,51,57,93
8347,68,7.7,48,84,100
10532,79,6.1,66,40,63
11208,81,7.4,54,45,95
16295,126,7.3,53,63,96
9800,72,5.8,58,58,77
11707,107,7.6,56,60,100
13003,91,7.9,56,62,100
5953,56,8.5,54,65,100
13987,120,8.5,56,72,100
12973,106,5.5,51,61,68
9669,80,6.1,56,51,83
6938,53,7.8,50,65,100
7965,57,7.8,50,83,100
5489,57,7.8,62,53,100
17335,142,11.5,65,40,56
13233,99,7.9,55,72,100
8088,59,8.6,54,53,100
14149,89,8.3,77,22,75
20213,141,8.0,58,68,100
5634,51,6.8,64,47,78
6283,69,8.1,65,54,100
15556,124,6.3,49,60,70
11028,90,6.9,54,58,100
5725,49,6.6,50,66,93
6948,56,7.3,63,48,87
12547,109,10.0,50,63,81
11392,92,5.0,62,51,66
8684,56,8.0,59,66,100
14005,102,5.3,57,64,65
9085,68,6.6,64,41,86
11319,86,8.5,48,71,100
13401,108,7.3,57,47,83
10266,82,5.9,58,67,80
10410,83,6.3,58,61,80
13727,117,8.0,48,83,100
8738,67,6.3,57,52,84
12232,111,7.5,51,50,100
8469,66,7.3,53,55,100
15850,121,6.4,67,50,57
11796,91,9.8,48,67,95
10981,89,8.0,68,31,91
5383,54,4.8,68,39,35
6934,64,7.4,59,39,89
9168,70,6.4,53,69,84
5676,43,8.2,51,81,100
6791,80,6.2,58,53,81
9443,74,7.1,70,52,92
11577,97,7.8,50,56,100
8197,56,8.2,55,72,100
12388,95,5.8,62,41,56
9893,79,6.8,59,59,94
5942,58,6.6,53,70,100
4454,22,6.4,51,63,72
5933,55,9.3,57,58,93
12652,90,7.7,48,70,100
4818,49,5.7,76,15,28
10658,77,8.3,55,65,100
5624,45,9.7,64,45,74
13785,104,8.4,73,28,80
7608,57,5.4,56,63,78
11701,89,6.6,50,76,100
9913,71,8.7,55,53,100
6409,43,6.4,49,69,83
7372,72,7.7,53,79,100
5077,38,8.1,55,75,100
11950,93,6.1,48,80,92
7791,72,7.1,53,66,100
7386,59,3.3,53,56,62
8246,63,6.0,72,31,46
10414,86,6.9,62,51,99
5958,63,5.7,70,42,45
7718,57,9.2,48,88,100
8770,72,5.5,57,52,76
4833,33,6.7,58,57,95
9609,75,7.4,57,63,100
8536,72,8.9,56,56,100
8279,63,5.5,48,80,86
17434,127,8.6,65,46,91
11376,79,7.2,59,58,100
7577,66,6.0,58,44,66
8423,79,7.8,71,35,93
9246,67,7.4,66,46,90
7845,62,6.5,58,54,100
10291,87,7.3,60,49,89
5954,64,6.7,64,45,77
8990,62,7.3,62,34,85
9180,74,8.0,58,54,100
11273,92,9.1,58,32,90
11651,91,5.7,57,66,77
12082,75,9.8,51,56,86
7801,71,4.9,72,33,44
14361,122,7.0,58,50,96
7483,65,7.9,61,44,100
6332,48,7.5,53,60,100
12847,96,6.5,48,75,100
17421,145,7.0,74,27,58
11389,98,6.6,48,57,100
9468,83,6.5,63,53,95
5813,56,8.2,55,65,100
7988,62,7.6,51,58,100
12225,94,6.4,58,44,62
10530,84,8.3,66,50,100
6844,65,7.6,59,43,100
7637,77,8.2,48,71,100
10286,92,8.0,62,55,100
13751,95,6.2,48,84,80
7617,67,6.5,54,54,100
8197,75,8.1,63,44,100
8850,78,7.9,63,32,100
11019,83,7.2,73,28,76
8952,97,7.3,71,31,77
10913,77,8.7,58,59,100
10457,76,6.5,56,63,99
11707,94,7.9,74,31,91
16216,140,7.0,52,68,97
9348,70,6.9,56,48,93
8726,71,8.5,58,57,100
16073,130,8.2,56,79,100
9566,78,8.2,48,68,100
7592,62,8.8,58,51,100
12582,103,7.2,64,42,75
8773,75,8.0,70,23,84
10400,92,6.8,58,44,92
12189,106,7.6,63,52,100
5237,52,7.0,73,40,67
9180,78,7.3,59,53,99
13562,107,7.9,53,56,100
9569,82,6.2,53,52,79
6997,62,9.7,63,45,82
12168,96,6.0,61,58,65
12059,104,5.7,57,62,70
7707,78,8.6,64,39,100
21166,144,8.1,48,76,100
6875,60,7.9,54,54,100
8564,66,8.0,61,55,100
13976,105,7.2,57,66,99
8084,72,6.1,50,58,81
16213,128,7.3,58,69,96
11240,89,6.4,58,59,84
9319,61,8.4,67,46,96
11637,84,7.0,50,60,100
12987,108,6.2,59,38,56
10475,62,6.8,56,57,100
12682,109,7.7,60,55,100
10873,91,6.5,66,52,100
11472,102,6.2,61,53,75
4901,46,7.5,68,27,76
8293,53,7.5,57,47,100
6386,61,6.6,62,56,95
13015,111,6.6,53,57,97
9096,83,7.5,70,40,93
10748,81,5.5,49,74,88
6946,62,5.5,69,42,54
9598,74,6.3,54,70,92
6822,53,6.9,55,61,100
11716,100,7.6,59,45,100
8748,63,9.0,48,82,100
9710,72,8.2,66,37,100
11335,81,7.0,52,69,100
10369,72,7.2,49,70,100
5376,52,6.0,61,45,53
10774,96,7.2,49,76,100
6116,54,6.9,51,51,100
11117,77,7.6,58,59,100
17755,140,6.2,52,59,70
5588,65,7.8,54,53,100
3776,35,9.0,48,67,100
11559,88,7.1,48,67,100
7831,71,7.7,62,29,97
13751,119,8.0,48,75,100
9988,77,6.7,75,30,76
13539,94,7.5,49,70,100
14873,119,7.2,51,72,98
7356,70,7.3,66,39,88
10056,82,6.3,60,49,63
7928,63,7.2,64,38,89
5252,57,7.8,54,52,100
6665,63,8.9,65,50,100
12393,91,8.4,60,67,100
10798,87,9.8,48,75,100
6393,46,6.3,48,76,95
7122,67,8.2,60,47,100
7977,66,7.4,55,52,100
4229,39,9.8,70,30,57
8078,68,6.2,59,43,66
8135,69,6.2,61,69,75
7853,74,6.5,53,79,100
7851,72,4.7,66,36,50
10335,82,6.6,65,46,88
7319,69,6.3,62,55,76
10721,89,7.4,54,59,100
7510,61,7.6,59,43,100
7260,62,9.5,55,61,95
11075,87,8.3,64,48,100
13282,107,6.5,58,55,92
9426,74,6.1,48,63,77
3740,36,7.8,54,55,100
15957,137,5.6,60,48,51
7079,69,9.4,58,53,98
11924,88,8.6,66,54,100
6643,63,6.6,54,49,93
5307,51,5.1,61,51,53
7249,66,8.8,54,79,100
6779,61,7.1,63,63,97
7404,73,8.7,57,51,100
14007,111,5.3,55,65,65
5408,50,6.5,62,50,86
9719,88,7.2,51,73,100
5590,54,7.3,55,61,94
10012,82,6.7,60,53,95
9949,83,7.9,48,62,100
8325,69,5.9,70,31,50
17554,132,7.0,65,38,77
12623,94,7.3,64,37,81
14182,103,7.8,65,57,100
12029,87,8.1,48,81,100
4408,33,5.9,48,88,83
10390,77,5.4,61,65,72
11258,88,8.7,51,63,100
15263,117,7.6,66,28,90
8055,66,6.3,60,47,65
7005,42,9.1,66,43,78
11253,102,7.3,62,46,86
6509,67,8.6,54,52,100
7758,70,7.3,58,48,92
13628,121,9.7,67,25,53
7186,55,9.3,53,66,98
18104,150,6.9,66,39,73
10270,75,8.4,58,59,100
8736,75,8.0,48,86,100
10009,71,8.8,67,41,93
5460,51,6.0,74,17,28
8348,73,8.0,65,51,100
12490,97,8.5,52,72,100
12520,104,5.1,50,84,75
6097,56,5.8,67,37,52
7292,59,4.8,60,62,61
9912,76,6.9,62,48,87
12998,108,8.1,58,53,100
9806,75,9.0,51,95,100
12162,103,7.3,70,32,69
12762,109,9.2,58,59,90
8370,57,5.5,50,62,77
16086,131,5.2,48,71,74
7257,79,7.1,58,56,100
15450,120,7.7,56,60,100
10603,90,7.2,57,49,92
10693,94,4.7,56,59,72
9683,77,7.1,66,50,100
9172,77,5.6,57,64,75
7057,51,8.0,55,49,100
7845,68,7.6,55,61,100
10381,88,6.1,54,55,81
11463,95,6.6,49,72,100
7457,73,5.9,56,54,80
12596,92,7.1,66,28,71
7311,59,8.3,48,74,100
15277,132,6.0,63,41,54
7308,62,7.8,59,45,99
16635,127,6.6,49,46,81
9720,79,6.2,57,76,92
9791,73,7.1,75,23,69
12956,114,6.0,48,102,81
16664,121,6.5,51,71,100
6935,52,5.8,52,58,79
11855,90,9.6,65,54,91
11030,72,7.2,63,59,96
10075,76,6.4,55,63,85
12609,91,7.5,58,65,100
9013,80,7.1,55,63,100
10986,82,6.9,52,56,100
9232,83,7.9,57,52,100
6380,68,8.1,59,53,100
9500,84,6.6,57,52,100
7394,62,6.5,50,72,100
13356,105,6.9,54,64,95
6664,47,4.4,73,15,27
8669,71,5.4,54,65,78
8496,64,8.8,52,58,100
18624,144,9.2,55,55,83
16417,145,6.9,55,49,79
13166,106,7.9,55,72,100
9999,65,7.6,48,69,100
9679,76,10.9,67,43,64
6445,58,8.5,61,61,100
11274,90,7.0,62,40,88
8554,66,6.1,55,34,68
9073,77,5.3,60,46,59
3840,30,7.4,52,68,98
9060,67,6.3,48,69,83
7195,68,5.5,52,63,74
7971,60,6.4,59,66,77
11211,94,5.9,57,63,75
20376,139,9.2,58,45,73
10783,101,8.3,49,61,100
6920,54,7.2,51,67,100
8875,72,9.0,52,66,100
7917,70,7.3,52,73,100
9979,77,6.2,51,66,80
8566,73,9.0,58,60,100
12075,100,7.8,59,71,100
12814,108,6.0,61,55,63
9102,82,7.0,63,42,87
10076,80,6.1,58,53,82
10302,82,5.5,60,44,58
14876,132,8.3,66,45,93
8753,80,9.5,56,53,96
6992,54,5.5,62,43,59
6675,60,7.9,60,50,100
13151,99,6.4,67,27,42
13691,105,6.6,51,58,96
9432,68,6.5,59,55,97
9798,77,6.2,62,43,64
19028,156,7.3,56,65,90
8191,74,6.2,50,69,81
8133,49,7.5,72,31,91
5867,63,7.1,58,44,89
8205,78,6.9,69,43,78
8746,70,6.1,56,41,71
6953,67,6.5,54,67,100
9400,70,8.1,61,52,100
6473,54,7.8,56,51,100
7780,78,6.0,71,25,48
4549,43,7.3,59,65,84
9011,60,8.1,56,36,100
8173,68,5.2,59,56,68
11878,93,7.9,48,59,100
8919,84,6.4,48,75,89
9204,76,7.9,72,35,93
10974,84,6.3,71,15,41
9842,88,5.0,52,58,78
8170,70,5.2,48,82,85
9340,71,7.3,58,74,100
4827,56,7.5,49,58,100
9713,81,6.1,56,48,71
10061,82,8.0,59,67,100
6138,57,5.2,71,40,46
8594,63,7.1,54,62,100
11366,86,5.7,49,63,77
11021,88,6.4,59,71,84
9395,76,7.3,48,96,100
11185,99,6.2,58,61,84
8822,75,6.7,57,47,96
8016,75,8.4,57,55,100
11619,92,6.5,68,28,73
7798,75,8.2,63,45,100
3583,42,5.8,66,49,53
11250,90,7.8,64,47,100
11304,90,8.9,52,57,100
7637,58,4.2,68,43,40
8414,75,6.2,52,72,92
6587,58,7.9,60,55,100
7878,63,7.0,63,55,98
8489,80,7.6,55,50,100
6123,45,6.5,57,57,100
7319,60,7.3,51,67,100
8202,77,7.0,56,42,99
5066,51,8.6,63,45,92
11533,91,7.5,70,50,100
11829,95,7.6,58,35,100
4565,46,6.7,62,43,78
10975,76,6.6,63,48,89
14413,108,6.7,53,68,93
13069,115,7.7,55,59,100
13709,101,6.7,51,58,98
13465,102,7.5,53,68,100
8952,70,9.7,55,53,98
6380,56,8.2,48,61,100
14565,107,6.8,63,53,88
15897,124,8.6,60,59,100
10064,83,6.7,61,46,88
8665,78,4.8,73,18,33
12187,87,6.0,63,53,61
11614,89,5.0,50,76,81
11253,88,6.8,56,69,100
6915,64,7.2,51,69,100
11958,88,9.2,55,74,100
5197,56,7.6,58,56,100
9238,86,6.9,57,58,99
9663,71,8.2,56,46,100
13487,100,4.5,61,50,51
9358,73,7.5,51,64,100
13643,127,8.1,48,73,100
9676,76,5.4,55,53,74
11911,107,8.6,56,48,100
17978,124,7.6,66,55,100
8211,61,6.7,59,64,98
8778,68,8.0,74,33,90
10423,77,9.9,66,21,65
7158,60,7.4,61,47,86
10541,79,7.5,60,37,100
8154,62,6.6,58,47,95
7931,77,6.2,55,53,85
9426,87,8.2,65,48,100
5299,57,6.2,48,77,77
11918,98,7.3,60,60,98
12965,102,6.6,58,60,92
13346,99,7.8,63,64,100
19028,134,7.6,58,38,93
10823,90,8.4,56,71,100
9619,69,6.6,62,54,95
7869,59,6.9,50,65,100
10953,97,6.0,68,39,53
7504,80,6.7,68,32,78
8731,76,7.7,52,67,100
8453,80,8.1,52,61,100
9572,76,6.1,60,41,64
11610,81,8.2,71,42,89
7073,67,8.8,51,72,100
7951,72,7.7,68,37,96
16789,127,9.5,48,80,97
12399,95,6.3,60,41,56
7775,74,5.7,58,65,80
7495,57,5.1,54,50,78
6922,54,9.0,52,64,100
10769,78,8.0,61,47,100
10114,83,7.1,59,53,95
9650,70,7.5,56,56,100
7122,57,5.8,65,40,60
9654,73,10.1,56,66,95
9992,79,7.4,64,47,85
8979,62,7.3,55,52,100
11123,89,8.1,62,40,100
13824,117,7.8,77,17,66
9218,77,7.5,62,52,100
14996,127,6.3,48,91,85
8798,84,7.8,54,67,100
4850,53,9.5,50,55,86
11186,90,8.8,59,51,100
11536,92,9.1,65,55,92
13402,110,6.6,51,63,95
6805,57,6.0,61,37,65
16432,109,7.0,54,72,100
12417,101,7.3,48,66,94
10710,77,8.5,51,66,100
5508,44,5.2,57,62,63
5763,53,9.0,55,55,100
8243,69,7.0,53,65,100
9100,64,6.7,57,64,100
10824,88,6.0,61,50,74
11238,97,5.2,62,46,56
10564,76,8.2,55,57,100
15787,130,7.3,50,78,100
9532,66,5.7,65,36,62
9801,97,5.6,68,33,51
12286,93,6.8,55,57,93
9399,78,9.2,56,56,100
13927,92,6.9,52,58,96
9621,78,5.4,56,59,78
6609,60,6.9,55,52,100
12057,94,6.9,48,77,100
15244,112,4.0,68,31,24
15423,110,7.1,63,43,82
7138,71,6.9,61,53,95
9188,76,8.0,66,30,100
7203,75,9.4,60,52,91
4467,40,8.6,50,80,100
9666,75,6.9,59,55,97
7997,74,5.9,53,58,80
5678,39,10.3,66,36,69
9628,69,7.3,63,46,86
10931,96,7.2,60,49,87
6375,48,7.2,51,50,100
16751,112,7.4,51,74,100
7241,78,7.0,63,63,95
6579,47,6.5,63,38,88
7333,65,6.5,53,59,100
7843,67,7.2,56,62,100
12733,77,6.5,52,72,100
9697,77,6.3,53,79,96
13371,107,7.3,58,40,85
5992,57,6.9,65,43,79
8242,77,9.0,67,36,95
10075,79,4.0,59,51,60
9548,84,8.5,56,62,100
7822,61,8.7,56,70,100
9230,65,4.7,61,54,65
6380,47,6.8,55,50,100
11027,76,6.8,60,57,96
13016,109,5.5,62,42,49
9800,68,6.3,48,86,93
7204,65,5.9,67,31,49
7218,60,9.3,56,58,100
13362,103,8.3,50,85,100
6059,66,8.7,57,55,100
11034,85,8.1,54,52,100
7481,69,5.8,58,50,76
7523,65,6.6,59,52,96
12267,95,7.8,54,76,100
8342,89,5.7,73,22,44
6172,44,8.1,48,78,100
4869,57,6.9,76,34,67
12773,105,6.8,60,51,87
5765,49,8.1,65,49,93
7911,80,7.7,53,64,100
20206,134,6.8,69,31,61
9883,76,8.6,58,62,100
10267,73,5.9,50,85,90
11419,94,7.9,70,35,91
17029,119,7.9,60,58,99
13715,109,6.8,60,45,78
6021,53,7.6,53,61,100
14535,108,5.7,59,55,62
8738,76,8.3,65,45,100
7804,64,7.0,54,62,100
12730,91,6.6,51,82,100
13330,126,8.5,65,52,100
12137,92,6.4,49,66,72
8987,57,5.5,62,36,59
10679,79,5.3,63,41,56
9592,68,7.9,56,62,100
14269,116,5.7,48,77,80
9862,83,9.3,61,60,92
10539,88,4.7,61,50,66
6537,55,9.2,58,55,94
11342,88,7.5,59,36,100
6890,57,7.1,49,64,100
4274,42,6.5,53,68,94
7358,70,7.7,52,48,100
12374,100,7.2,64,48,79
8071,72,8.5,55,59,100
13306,107,7.3,73,48,72
10717,93,7.4,67,54,88
15021,117,6.8,48,86,100
11562,94,7.1,59,51,98
15634,128,7.6,63,50,99
4581,40,5.1,68,45,36
12428,91,5.6,48,66,67
17708,123,8.1,52,52,100
7427,65,7.4,59,45,88
7643,51,7.0,52,75,100
9805,84,7.2,51,76,100
12536,97,7.6,65,46,97
20706,162,6.6,64,27,64
9388,72,6.3,48,70,92
10110,80,7.4,65,45,88
8766,82,6.0,49,67,82
6906,72,7.7,61,25,94
10134,77,5.2,53,68,75
16338,125,8.4,68,37,83
8455,73,7.8,53,66,100
8266,73,7.5,56,55,100
9620,77,8.4,62,41,100
9346,87,9.2,58,49,87
9262,61,8.4,48,65,100
8099,65,5.0,54,57,74
14123,112,5.7,56,64,68
10656,89,6.5,48,85,100
11305,101,7.2,67,32,76
7175,72,7.8,48,79,100
11803,91,6.3,56,57,82
10560,95,7.4,54,42,94
9477,72,6.3,66,35,67
13244,110,6.5,64,52,90
9799,94,5.5,48,69,75
13760,116,6.1,56,53,75
6888,61,5.6,50,78,88
9780,77,6.0,71,33,52
11983,82,8.5,56,55,100
9548,81,6.1,62,36,64
13047,93,10.4,48,60,83
10172,76,7.8,53,68,100
9945,71,7.4,68,49,80
6251,52,6.2,74,16,40
13788,106,8.0,56,58,100
6602,61,6.5,56,62,100
5108,44,7.3,55,61,92
9509,86,10.3,48,74,100
9656,77,7.1,67,39,83
7926,61,8.6,54,65,100
14147,111,6.4,50,73,85
11762,109,7.2,64,28,84
8268,72,9.3,61,60,93
9271,73,6.4,63,47,66
9763,67,9.4,56,54,95
12050,93,8.0,60,60,98
16728,128,6.5,58,48,83
17252,126,8.0,58,45,100
9502,65,8.4,54,56,100
12487,91,7.9,57,39,100
9912,92,5.3,66,39,56
12830,112,6.3,48,65,73
9146,68,6.9,59,38,89
7314,69,7.1,48,65,100
14502,102,7.9,54,62,100
13589,116,7.4,67,29,64
13179,104,5.6,60,45,52
9984,89,7.7,48,73,100
8341,56,7.9,59,40,100
8309,75,7.9,62,48,100
10852,87,8.5,52,62,100
6697,66,8.2,54,67,100
6981,68,7.8,56,51,100
7061,62,7.1,62,46,87
14029,103,5.2,54,76,74
8374,77,7.7,49,81,100
10410,83,7.4,50,70,100
22013,154,7.5,58,56,96
12233,89,5.7,61,43,50
9545,66,5.9,62,43,59
5148,45,8.5,53,63,100
8282,79,7.2,54,61,100
6841,62,8.0,50,76,100
8239,65,7.2,50,65,100
13840,113,7.2,63,32,76
7570,58,8.3,48,71,100
11850,94,6.6,57,40,95
6180,54,7.3,55,49,94
8274,76,6.6,57,59,100
11677,80,6.7,48,85,100
11083,82,6.8,48,102,100
8759,60,7.5,54,64,100
10643,83,6.6,51,52,100
9891,90,8.7,57,63,100
5065,44,6.1,56,68,69
9295,72,7.0,56,50,100
9117,82,6.7,48,82,100
13226,111,8.9,53,58,100
9882,80,7.4,55,62,100
9535,84,8.4,48,65,100
8804,65,5.4,48,61,77
10302,94,7.5,51,68,100
5641,69,8.3,61,46,93
7389,68,7.3,59,47,86
9651,62,8.5,60,38,100
5176,45,6.6,53,62,95
15093,120,8.9,54,67,100
8246,66,10.0,55,62,92
11281,100,6.8,48,80,100
7922,72,6.7,55,55,100
6035,49,8.9,58,65,100
8619,72,9.1,59,39,84
8605,65,6.6,62,49,89
9519,76,6.7,58,65,100
16078,117,6.9,54,68,92
9102,85,5.6,58,51,75
10458,101,6.1,56,54,81
14041,97,6.0,71,32,39
11001,72,6.3,54,50,85
7811,65,7.2,48,68,100
9661,67,7.5,52,64,100
16304,124,9.1,59,63,81
9877,86,6.0,59,56,73
7386,76,8.4,54,55,100
8221,71,6.9,60,45,88
16283,122,7.1,51,65,95
9099,59,8.0,52,61,100
9280,77,5.9,59,62,75
7253,63,7.7,55,47,100
13149,107,7.4,77,23,55
8365,65,7.8,54,71,100
8245,66,7.5,65,48,100
4450,32,10.1,61,42,67
12461,79,6.4,53,65,76
14553,103,6.6,54,49,83
10711,73,6.5,49,71,100
16919,130,6.5,56,64,94
7015,57,6.4,59,65,75
9070,71,8.6,61,35,100
10697,78,8.9,49,73,100
5162,23,6.5,55,59,93
13638,117,6.2,54,49,67
7891,59,7.8,59,57,100
4375,40,6.5,65,28,74
9456,66,8.0,54,61,100
13840,115,7.4,62,40,75
11946,95,5.4,62,35,59
10838,80,9.1,67,32,73
10162,79,9.4,50,72,100
5646,66,6.5,60,46,81
6649,58,6.7,48,78,100
10638,84,7.5,62,47,100
7528,57,7.6,75,29,87
10076,67,8.0,65,38,100
14991,113,9.6,54,74,96
20679,155,7.0,53,53,89
12543,107,6.2,61,47,53
13287,85,5.5,52,57,71
7231,54,6.3,48,63,85
6652,54,7.2,48,72,100
8579,72,9.4,53,77,100
8441,70,6.6,63,50,99
9618,78,7.5,66,35,100
13487,108,7.2,54,49,82
8492,64,8.6,55,59,100
12323,104,10.2,64,41,63
7332,67,6.6,64,41,87
6787,57,6.6,48,60,100
8140,82,8.5,54,54,100
7279,75,8.0,57,55,100
7436,72,9.4,64,44,81
9072,51,7.9,50,52,100
15411,130,6.8,62,41,79
9020,81,7.9,53,68,100
9132,91,8.5,54,71,100
13291,113,8.2,71,27,74
5979,67,7.8,65,41,93
7550,72,8.5,63,33,100
8666,83,8.6,54,45,100
8811,89,8.9,56,54,100
10620,87,8.0,70,33,95
9164,63,7.0,69,41,79
14918,111,7.4,66,40,78
15173,119,8.6,58,58,100
10357,84,6.2,59,56,73
20819,143,7.6,60,44,89
11458,78,6.7,56,58,100
11000,82,7.2,67,47,81
7233,69,8.7,55,51,100
12462,110,7.4,54,80,100
7542,72,7.3,48,75,100
14227,118,5.6,70,36,43
12039,94,8.1,48,67,100
12138,81,8.0,55,67,100
13592,101,9.8,61,38,67
8876,72,6.8,48,67,100
11039,84,7.5,49,78,100
8931,74,7.5,68,38,97
7057,65,9.1,60,41,85
9985,88,7.1,48,70,100
7765,64,7.5,56,59,100
9985,66,7.9,54,63,100
13835,103,7.4,58,60,93
10021,82,6.7,59,61,96
4861,57,7.4,65,35,79
11068,84,8.5,59,71,100
15787,124,6.0,51,73,80
9966,83,7.4,57,52,100
10235,83,6.4,51,54,85
8250,77,8.6,66,32,98
10444,79,5.4,53,63,74
9220,71,6.5,58,64,100
12144,95,7.7,60,54,100
